type,Species,Tissue,CellType,Cancer,Source,SupportedSources,Details,Cell Marker
48,Human,Pancreas,Pancreaticpolypeptidecell,Normal,Single-cellsequencing,1,moredetails,ENTPD2
48,Human,Pancreas,Pancreaticpolypeptidecell,Normal,Single-cellsequencing,1,moredetails,ETV1
48,Human,Pancreas,Pancreaticpolypeptidecell,Normal,Single-cellsequencing,1,moredetails,MEIS1
48,Human,Pancreas,Pancreaticpolypeptidecell,Normal,Single-cellsequencing,1,moredetails,MEIS2
48,Human,Pancreas,Pancreaticpolypeptidecell,Normal,Single-cellsequencing,1,moredetails,PAX6
48,Human,Pancreas,Pancreaticpolypeptidecell,Normal,Single-cellsequencing,1,moredetails,PTGFR
48,Human,Pancreas,Pancreaticpolypeptidecell,Normal,Single-cellsequencing,1,moredetails,RBTN3
48,Human,Pancreas,Pancreaticpolypeptidecell,Normal,Single-cellsequencing,1,moredetails,SERTM1
48,Human,Pancreas,Pancreaticpolypeptidecell,Normal,Single-cellsequencing,1,moredetails,SLITRK6
48,Human,Pancreas,Pancreaticpolypeptidecell,Normal,Single-cellsequencing,1,moredetails,THSD7A
48,Human,Pancreas,Pancreaticpolypeptidecell,Normal,Single-cellsequencing,1,moredetails,ZNF506
49,Human,Pancreas,Pancreaticprogenitorcell,Normal,Experiment,1,moredetails,AC133
50,Mouse,Pancreas,Pancreaticprogenitorcell,Normal,Experiment,1,moredetails,c-Kit
51,Mouse,Pancreas,Pancreaticprogenitorcell,Normal,Experiment,1,moredetails,c-Met
52,Mouse,Pancreas,Pancreaticprogenitorcell,Normal,Experiment,1,moredetails,Dclk1
53,Human,Pancreas,Pancreaticstemcell,Normal,Experiment,1,moredetails,AC133
54,Human,Pancreas,Pancreaticstemcell,Normal,Experiment,1,moredetails,c-Kit
55,Human,Pancreas,Pancreaticstemcell,Normal,Experiment,1,moredetails,LGR5
55,Human,Pancreas,Pancreaticstemcell,Normal,Experiment,1,moredetails,NANOG
56,Human,Pancreas,Pancreaticstemcell,Normal,Experiment,1,moredetails,SSEA-4
57,Human,Pancreaticacinartissue,Pancreaticstemcell,Normal,Experiment,1,moredetails,CXCR4
58,Mouse,Pancreas,Pancreaticstemcell,Normal,Experiment,1,moredetails,c-Met
59,Mouse,Pancreas,Pancreaticstemcell,Normal,Experiment,1,moredetails,Dclk1
60,Human,Pancreas,PPcell,Normal,Single-cellsequencing,1,moredetails,PPY
61,Mouse,Pancreas,Progenitorcell,Normal,Experiment,1,moredetails,Nestin
62,Human,Pancreas,Stemcell,Normal,Experiment,1,moredetails,SSEA4
63,Human,Pancreas,Stemcell,PancreaticCancer,Experiment,1,moredetails,LGR5
63,Human,Pancreas,Stemcell,PancreaticCancer,Experiment,1,moredetails,NANOG
64,Mouse,Pancreas,Stemcell,Normal,Experiment,1,moredetails,Pdx1
