SST
C7
REG3A
CXCL1
THBS1
CXCL8
RGS5
PPY
CXCL2
DCN
MUC6
CCL2
FBLN1
HSPA1A
SPARC
SPP1
AMY2B
OLFM4
LCN2
CSF3
IAPP
VCAM1
LUM
AMY2A
A2M
CLDN4
TFPI2
TIMP3
CCL20
C1R
CX3CL1
CRP
COL1A2
RBP4
MGP
MMP2
FSTL3
C1S
ADH1B
APOD
REG3G
ANXA1
MSC
SERPINF1
SPARCL1
DLK1
HSPA6
DNAJB1
G6PC2
ADAMTS4
MMP7
DPT
CELA2B
CTGF
SRPX
PEG10
TACSTD2
GHRL
CYR61
CELA2A
COL3A1
NEURL3
CRISPLD2
ICAM1
SPRR2A
NPY
HSPA1B
FBLN5
CXCL6
MT1G
KRT19
CYP1A1
RND3
GEM
IGFBP3
MFAP4
SDC4
SERPINA3
KRT17
CYP1B1
PTGS2
KRT7
EDNRB
BGN
REG1B
GJA4
PLA2G1B
COL1A1
COL6A3
CUZD1
IGFBP4
PLIN2
AMBP
MYC
IFITM1
ARC
LAMB3
PLAU
LOXL4
TNFAIP2
SMOC2
GP2
PNLIPRP2
GFPT2
LAMC2
TGM2
C11orf96
PLAUR
HSPB8
SNAI2
CTRL
IL6
CTSL
KCNE4
PRSS8
HMOX1
SFRP2
PRELP
UBD
PCSK1
GGT5
LHFPL6
CXCL3
TAGLN
VIM
ACE2
IL1RL1
NID1
ENG
SYCN
CELA3B
CRYAB
PLPP3
KLHL41
OLFML3
FABP4
RSPO3
IFIT3
VASN
CLPS
CCDC80
ADAMTS1
NR4A1
PDGFRB
RGS16
ALDH1A3
CEL
NPTX2
PLVAP
C3
PNLIP
FGG
RCAN1
CELA3A
TCN1
KRT23
CLDN1
PCOLCE
AQP1
DKK3
CD74
PRSS3
AVPR1A
LOX
PLCE1
LYZ
MT2A
NNMT
HGF
LIF
ID2
STC1
CFD
SLC3A1
KDR
FOSL1
FLT1
S1PR3
LPL
MAFF
CTRC
TGFBI
NFKBIA
ID1
MT1E
ENPEP
THBS4
OLFML1
PRG4
APCS
PDGFRA
TNC
MALL
ANGPTL4
TFF1
COLEC11
EDNRA
THY1
IL13RA2
SLC2A3
STEAP4
PLAT
KRT18
SLCO2A1
ABCA8
FRZB
GREM1
SERPINB2
ACTA2
TAC1
CLDN2
SERPINA5
SMOX
TRIM29
APOBEC3B
TRPV2
SMIM3
GPC3
FMO2
KRT8
LAMA2
ADIRF
THBS2
CHI3L1
CEACAM7
RGCC
S1PR1
GPRC5A
FSTL1
EFEMP1
AKAP12
LAMC3
GJA5
CPA1
ZC3H12A
COL4A1
CD93
EPHA2
CTRB1
SERPINA1
HLA-DRA
PDE4B
CILP
NECTIN4
CFB
CEACAM6
VCAN
CD44
CFH
PECAM1
COL6A2
ELF3
CP
THSD7A
LGALS1
C6
FN1
4-Sep
HTRA3
THBD
SRGN
GPNMB
NCOA7
EDN3
IGFBP7
NOV
APOLD1
MFSD2A
CFTR
ASPN
OSR2
SLIT3
IER2
TPM2
TNF
HMGA1
PTX3
DUOXA2
INHBA
S100A6
EHD1
DUSP2
HAS2
LRRC32
DMBT1
ADM
SPOCK1
FGFBP1
KLK1
CTRB2
PDIA2
SPHK1
PTGDS
PCDH18
GADD45B
ASB9
CLEC14A
G0S2
BAG3
CXCL12
ADAMTS9
ZFP36
INS
CYBRD1
CPA2
ITPRIP
ESAM
ID3
FIBIN
PPARG
AKR1B10
MUC16
SLC26A4
GSN
CSPG4
SOCS3
CDH11
PNLIPRP1
ADCY3
HIGD1B
CDKN1A
MUC5B
AXL
MMP19
PRSS1
GLP2R
FHL5
HADH
GDF15
AOC3
NDUFA4L2
PAMR1
CPB1
SUSD2
CCDC3
PLCXD1
OGN
SPINK1
RNASE1
MOXD1
C4BPA
COL14A1
COL6A1
SERPING1
AMY1B
CXCL14
LINC00643
GNG11
EPHA3
ALDOB
KLKB1
COL4A2
SCARA3
FBLN2
IGFBP6
FBN1
TUBB6
CCL3
GJC1
CARTPT
SPRY2
RARRES1
LEFTY1
FOS
EGR1
GBP1
GPRC5B
PDK4
SVEP1
CD4
LEPR
RND1
TM4SF1
F5
PGC
SLPI
ZEB2
TRAF1
ALB
FGF7
C10orf10
TRPV6
GPR179
EGR2
EPAS1
SERPINB7
ADAMTS12
TGFA
PTPRB
SOD2
GPR4
RASD2
ZNF596
WEE2-AS1
BIRC3
CDSN
NOTCH4
NLRP3
PIGR
IGFBP5
LTBP1
ADGRL4
F2R
VNN2
EPHB6
ATP6V1G2
COL15A1
SLC16A1
SLC18A2
FGB
SYT8
FMOD
HBEGF
MX1
CCL8
SRL
PCK1
PLXDC1
SFRP4
CCL7
P2RY1
ANXA4
HSPH1
AMOTL2
HEPH
SAT1
COX4I2
RRAD
IER3
AKAP7
JUP
SGCD
AGTR1
PEAR1
SYT1
SESN2
G6PC
CALD1
SOX7
CDH23
ARHGDIB
IFIT1
GRID1
COL5A2
AKAP2
GIMAP4
PRR16
TNFSF15
RIPK2
DUSP6
ZSWIM8-AS1
MAP2K3
NOTCH3
DHCR24
UGT2B15
FGA
TMEM204
EZR
C6orf222
NLRP11
HSPB1
CCND1
IFI27
TBX3
REG1CP
DUOX2
TNXB
SPAAR
RHOF
SERTAD4
OR2I1P
CCDC168
MT1X
SRPX2
ENC1
RGS13
GJB3
HOXA5
GPR176
LINC00365
SLC38A11
ADAMTS16
RSAD2
TNFRSF1B
ADGRF5
TXNIP
DAB2
SERPINE1
TUBB2A
CAMK1G
LRRC8C
VAT1L
CYP3A5
ZNF859P
KIAA1683
KRT80
PHACTR3
ZNF331
KIT
SLC14A1
CDH26
JUNB
LSP1
CAVIN2
TNFRSF12A
MEDAG
ZNF155
RGS2
VWF
BLNK
F2RL1
HCRTR1
PMEL
LDHA
DDIT4
RAMP3
PIWIL4
VWFP1
TNFAIP3
AC011632.1
REG1A
